Table S4  Raw inoculation experiment data - all surviving plants. Nitrogen data from Regus et al 2014. Local chromosomal (CHR) and symbiosis island (SI) abundance is represented as a proportion of the total nodulating isolates in a given population. Full genome abundance is not a proportion.,,,,,,,,,,,,,,,
Plant #,Host Line,Strain,Population,N history,Total N (%),Mineral N (ppm),Block,Shoots mass (g),Roots mass (g),Relative Growth,Total nodules,Mean individual  nodule biomass (mg),CHR local abundance,SI local abunance,full genome local abundance
6,BMR01.03,132,BMR,LOW,0.01,4.08,1,0.062,0.0218,1543,25,0.664,0.01459854,0.0278,1
36,BMR07.03,132,BMR,LOW,0.01,4.08,1,0.0389,0.0126,336,14,0.5214,0.01459854,0.0278,1
366,UnH: Cla12.04,132,BMR,LOW,0.01,4.08,1,0.0787,0.0224,743,58,0.1724,0.01459854,0.0278,1
560,UnL: Anz13.04,132,BMR,LOW,0.01,4.08,1,0.0394,0.0074,171,63,0.0984,0.01459854,0.0278,1
738,A. heermannii,132,BMR,LOW,0.01,4.08,1,0.0674,0.078,470,48,0.1229,0.01459854,0.0278,1
12,BMR01.03,132,BMR,LOW,0.01,4.08,2,0.0826,0.0349,2298,36,0.4167,0.01459854,0.0278,1
42,BMR07.03,132,BMR,LOW,0.01,4.08,2,0.0719,0.0166,620,41,0.2341,0.01459854,0.0278,1
426,UnH: Cla12.04,132,BMR,LOW,0.01,4.08,2,0.0805,0.0206,1324,76,0.1421,0.01459854,0.0278,1
605,UnL: Anz13.04,132,BMR,LOW,0.01,4.08,2,0.0772,0.0149,158,53,0.1472,0.01459854,0.0278,1
784,A. heermannii,132,BMR,LOW,0.01,4.08,2,0.0995,0.0408,489,74,0.1568,0.01459854,0.0278,1
14,BMR01.03,132,BMR,LOW,0.01,4.08,3,0.0586,0.0202,979,52,0.1981,0.01459854,0.0278,1
48,BMR07.03,132,BMR,LOW,0.01,4.08,3,0.0548,0.02,612,38,0.1921,0.01459854,0.0278,1
437,UnH: Cla12.04,132,BMR,LOW,0.01,4.08,3,0.0516,0.0169,528,42,0.1167,0.01459854,0.0278,1
647,UnL: Anz13.04,132,BMR,LOW,0.01,4.08,3,0.0528,0.0148,193,23,0.2696,0.01459854,0.0278,1
806,A. heermannii,132,BMR,LOW,0.01,4.08,3,0.0781,0.034,300,74,0.0743,0.01459854,0.0278,1
24,BMR01.03,132,BMR,LOW,0.01,4.08,4,0.0827,0.0195,1178,69,0.1362,0.01459854,0.0278,1
52,BMR07.03,132,BMR,LOW,0.01,4.08,4,0.1742,0.0468,3646,135,0.1422,0.01459854,0.0278,1
499,UnH: Cla12.04,132,BMR,LOW,0.01,4.08,4,0.0672,0.0182,1542,83,0.0831,0.01459854,0.0278,1
653,UnL: Anz13.04,132,BMR,LOW,0.01,4.08,4,0.0597,0.0189,262,32,0.2531,0.01459854,0.0278,1
854,A. heermannii,132,BMR,LOW,0.01,4.08,4,0.124,0.0467,935,85,0.1318,0.01459854,0.0278,1
25,BMR01.03,132,BMR,LOW,0.01,4.08,5,0.0314,0.0123,252,25,0.144,0.01459854,0.0278,1
56,BMR07.03,132,BMR,LOW,0.01,4.08,5,0.0535,0.0193,507,50,0.106,0.01459854,0.0278,1
509,UnH: Cla12.04,132,BMR,LOW,0.01,4.08,5,0.0497,0.0123,546,67,0.091,0.01459854,0.0278,1
900,A. heermannii,132,BMR,LOW,0.01,4.08,5,0.0509,0.0341,307,53,0.0849,0.01459854,0.0278,1
5,BMR01.03,133,BMR,LOW,0.01,4.08,1,0.0093,0.0051,NA,0,NA,NA,NA,NA
35,BMR07.03,133,BMR,LOW,0.01,4.08,1,0.0053,0.0033,NA,0,NA,NA,NA,NA
388,UnH: Cla12.04,133,BMR,LOW,0.01,4.08,1,0.0081,0.0056,NA,0,NA,NA,NA,NA
546,UnL: Anz13.04,133,BMR,LOW,0.01,4.08,1,0.0148,0.0084,NA,0,NA,NA,NA,NA
727,A. heermannii,133,BMR,LOW,0.01,4.08,1,0.0155,0.0166,NA,0,NA,NA,NA,NA
11,BMR01.03,133,BMR,LOW,0.01,4.08,2,0.0031,0.0010,NA,0,NA,NA,NA,NA
41,BMR07.03,133,BMR,LOW,0.01,4.08,2,0.0083,0.0041,NA,0,NA,NA,NA,NA
425,UnH: Cla12.04,133,BMR,LOW,0.01,4.08,2,0.0054,0.0029,NA,0,NA,NA,NA,NA
580,UnL: Anz13.04,133,BMR,LOW,0.01,4.08,2,0.0106,0.0056,NA,0,NA,NA,NA,NA
785,A. heermannii,133,BMR,LOW,0.01,4.08,2,0.0166,0.0121,NA,0,NA,NA,NA,NA
15,BMR01.03,133,BMR,LOW,0.01,4.08,3,0.0061,0.0056,NA,0,NA,NA,NA,NA
45,BMR07.03,133,BMR,LOW,0.01,4.08,3,0.0044,0.0031,NA,0,NA,NA,NA,NA
439,UnH: Cla12.04,133,BMR,LOW,0.01,4.08,3,0.0036,0.0021,NA,0,NA,NA,NA,NA
622,UnL: Anz13.04,133,BMR,LOW,0.01,4.08,3,0.0068,0.0062,NA,0,NA,NA,NA,NA
827,A. heermannii,133,BMR,LOW,0.01,4.08,3,0.0095,0.0062,NA,0,NA,NA,NA,NA
23,BMR01.03,133,BMR,LOW,0.01,4.08,4,0.0087,0.0043,NA,0,NA,NA,NA,NA
53,BMR07.03,133,BMR,LOW,0.01,4.08,4,0.0064,0.0027,NA,0,NA,NA,NA,NA
501,UnH: Cla12.04,133,BMR,LOW,0.01,4.08,4,0.0103,0.0049,NA,0,NA,NA,NA,NA
678,UnL: Anz13.04,133,BMR,LOW,0.01,4.08,4,DEAD,DEAD,NA,NA,NA,NA,NA,NA
846,A. heermannii,133,BMR,LOW,0.01,4.08,4,0.0118,0.0130,NA,0,NA,NA,NA,NA
26,BMR01.03,133,BMR,LOW,0.01,4.08,5,0.0054,0.0049,NA,0,NA,NA,NA,NA
55,BMR07.03,133,BMR,LOW,0.01,4.08,5,0.0048,0.0026,NA,0,NA,NA,NA,NA
526,UnH: Cla12.04,133,BMR,LOW,0.01,4.08,5,0.0031,0.0026,NA,0,NA,NA,NA,NA
878,A. heermannii,133,BMR,LOW,0.01,4.08,5,0.0082,0.0078,NA,0,NA,NA,NA,NA
1,BMR01.03,134,BMR,LOW,0.01,4.08,1,0.0962,0.0286,2347,30,0.2533,0.160583942,0.1389,14
34,BMR07.03,134,BMR,LOW,0.01,4.08,1,0.1032,0.0232,971,13,1.2308,0.160583942,0.1389,14
385,UnH: Cla12.04,134,BMR,LOW,0.01,4.08,1,0.1206,0.0326,1177,47,0.1872,0.160583942,0.1389,14
571,UnL: Anz13.04,134,BMR,LOW,0.01,4.08,1,0.0808,0.0174,468,83,0.1181,0.160583942,0.1389,14
731,A. heermannii,134,BMR,LOW,0.01,4.08,1,0.1321,0.0588,649,55,0.2073,0.160583942,0.1389,14
