"Table S2 Table of all isolates included in analyses and associated accession numbers. Isolate name includes collection year (2005 = 05), collection host plant (LoS = Lotus strigosus), and plant number followed by nodule number isolate was cultured from (1_2 = plant 1, nodule 2). Within locus haplotypes also defined such that all isolates with the same R01 designation have exactly the same sequenced recAloci. Chromosome (CHR) and symbiosis island (SI)  haplotypes are concatenations of the appropriate loci. Xs indicate loci that failed to amplify and/or sequence properly.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Inoculation #,Strain Name,Population,Latitude ,Longitude,glnII,,recA,,nodZ,,nolL,,chromosome haplotype (CHR),CHR genotype frequency,symbiosis island  haplotye (SI),SI genotype frequency,
,,,,,haplotype,accession #,haplotype,accession #,haplotype,accession #,haplotype,accession #,,,,,
132,05LoS3_4,Bodega Marine Reserve, 38.319300°,-123.063733°,G106,KM194727,R04,KM195623,Z02,KP832657,L07,KP832303,G106_R04,0.0146,Z02_L07,0.0278,
133,05LoS14R9_26,Bodega Marine Reserve,38.318611°,-123.065556°,G84,KP830138,R100,KP831037,X,NA,X,NA,G84_R100,N/A,N/A,N/A,
134,05LoS14_6,Bodega Marine Reserve,38.318611°,-123.065556°,G05,KM194750,R02,KM195646,Z01,KP832678,L07,KP832323,G05_R02,0.1606,Z01_L07,0.1389,
135,05LoS1_7,Bodega Marine Reserve, 38.319300°,-123.063733°,G02,KM194721,R98,KM195617,Z01,KP832651,L03,KP832297,G02_R98,0.0073,Z01_L03,0.0185,
136,05LoS1_4,Bodega Marine Reserve, 38.319300°,-123.063733°,G01,KM194718,R01,KM195614,Z01,KP832648,L01,KP832294,G01_R01,0.1387,Z01_L01,0.1111,
137,13LoS14_2,Griffith Park,34.12197,-118.309,G40,KP830601,R19,KP831500,Z53,MF149036,L18,MF149041,G40_R19,0.0588,Z53_L18,0.25,
138,13LoS15_1,Griffith Park,34.12197,-118.309,G91,KP830604,R225,KP831503,Z12,MF149037,L77,MF149042,G91_R225,0.0147,Z12_L77,0.25,
139,13LoS16_4,Griffith Park,34.12197,-118.309,G229,KP830607,R226,KP831506,Z61,MF149038,L78,MF149043,G229_R226,0.0147,Z61_L78,0.25,
140,13LoS10_1,Griffith Park,34.12197,-118.309,G82,KP830581,R55,KP831480,X,NA,X,NA,G82_R55,N/A,N/A,N/A,
141,13LoS18_3,Griffith Park,34.12197,-118.309,G230,KP830612,R227,KP831511,Z62, MF149039,L79, MF149044,G230_R227,0.0147,Z62_L79,0.25,
